,year,period,value
0,2025,Q02,3.6
1,2025,Q01,3.6
2,2024,Q04,3.8
3,2024,Q03,3.9
4,2024,Q02,4.1
5,2024,Q01,4.2
6,2023,Q04,4.2
7,2023,Q03,4.3
8,2023,Q02,4.5
9,2023,Q01,4.8
10,2022,Q04,5.1
11,2022,Q03,5.0
12,2022,Q02,5.1
13,2022,Q01,4.5
14,2021,Q04,4.0
15,2021,Q03,3.7
16,2021,Q02,2.9
17,2021,Q01,2.6
18,2020,Q04,2.5
19,2020,Q03,2.4
20,2020,Q02,2.7
21,2020,Q01,2.8
