TimePeriod,Gross domestic product
2020Q1,20693238
2020Q2,19056617
2020Q3,20548793
2020Q4,20771691
2021Q1,21058379
2021Q2,21389005
2021Q3,21571421
2021Q4,21960388
2022Q1,21903850
2022Q2,21919222
2022Q3,22066784
2022Q4,22249459
2023Q1,22403435
2023Q2,22539418
2023Q3,22780933
2023Q4,22960600
2024Q1,23053545
2024Q2,23223906
2024Q3,23400294
2024Q4,23542349
2025Q1,23512717
