TimePeriod,Gross saving
2020Q1,4251176.0
2020Q2,3422943.0
2020Q3,3642016.0
2020Q4,4257008.0
2021Q1,4118559.0
2021Q2,3947275.0
2021Q3,4140463.0
2021Q4,4477683.0
2022Q1,4643658.0
2022Q2,4705592.0
2022Q3,4914252.0
2022Q4,4788905.0
2023Q1,4661788.0
2023Q2,4755128.0
2023Q3,4804775.0
2023Q4,5021605.0
2024Q1,5103176.0
2024Q2,5102575.0
2024Q3,4902870.0
2024Q4,5155839.0
2025Q1,5212491.0
