,year,period,value
0,2025,Q02,3.5
1,2025,Q01,3.4
2,2024,Q04,3.6
3,2024,Q03,3.6
4,2024,Q02,3.9
5,2024,Q01,4.1
6,2023,Q04,4.1
7,2023,Q03,4.3
8,2023,Q02,4.5
9,2023,Q01,4.8
10,2022,Q04,5.1
11,2022,Q03,5.2
12,2022,Q02,5.5
13,2022,Q01,4.8
14,2021,Q04,4.4
15,2021,Q03,4.1
16,2021,Q02,3.1
17,2021,Q01,2.8
18,2020,Q04,2.6
19,2020,Q03,2.4
20,2020,Q02,2.7
21,2020,Q01,2.8
