TimePeriod,Personal income
2020Q1,18769151.0
2020Q2,20194227.0
2020Q3,19834254.0
2020Q4,19682696.0
2021Q1,22155483.0
2021Q2,21034799.0
2021Q3,21148824.0
2021Q4,21338885.0
2022Q1,21557386.0
2022Q2,21852965.0
2022Q3,22299823.0
2022Q4,22645503.0
2023Q1,22981216.0
2023Q2,23288788.0
2023Q3,23532369.0
2023Q4,23807765.0
2024Q1,24344193.0
2024Q2,24574012.0
2024Q3,24716749.0
2024Q4,25042276.0
2025Q1,25450066.0
