TimePeriod,Gross domestic product
2020Q1,21727657
2020Q2,19935444
2020Q3,21684551
2020Q4,22068767
2021Q1,22656793
2021Q2,23368861
2021Q3,23921991
2021Q4,24777038
2022Q1,25215491
2022Q2,25805791
2022Q3,26272011
2022Q4,26734277
2023Q1,27164359
2023Q2,27453815
2023Q3,27967697
2023Q4,28296967
2024Q1,28624069
2024Q2,29016714
2024Q3,29374914
2024Q4,29723864
2025Q1,29962047
