TimePeriod,Gross domestic product
2020Q1,105.001
2020Q2,104.651
2020Q3,105.574
2020Q4,106.293
2021Q1,107.645
2021Q2,109.278
2021Q3,110.931
2021Q4,112.836
2022Q1,115.16
2022Q2,117.76
2022Q3,119.073
2022Q4,120.173
2023Q1,121.247
2023Q2,121.809
2023Q3,122.785
2023Q4,123.247
2024Q1,124.168
2024Q2,124.942
2024Q3,125.543
2024Q4,126.27
2025Q1,127.441
