,date,MoM_growth
0,2020-01-01,
1,2020-02-01,-0.007188498402555976
2,2020-03-01,-0.024135156878519748
3,2020-04-01,-0.025556471558120353
4,2020-05-01,0.006768189509306133
5,2020-06-01,0.013445378151260456
6,2020-07-01,0.01243781094527363
7,2020-08-01,0.009009009009009139
8,2020-09-01,0.0016233766233766378
9,2020-10-01,-0.0008103727714749986
10,2020-11-01,0.0008110300081103361
11,2020-12-01,0.00972447325769843
12,2021-01-01,0.015248796147672605
13,2021-02-01,0.011857707509881354
14,2021-03-01,0.014843750000000044
15,2021-04-01,0.009237875288683473
16,2021-05-01,0.012967200610221274
17,2021-06-01,0.010542168674698704
18,2021-07-01,0.0029806259314455463
19,2021-08-01,-0.0022288261515600594
20,2021-09-01,0.004467609828741503
21,2021-10-01,0.014825796886582587
22,2021-11-01,0.007304601899196461
23,2021-12-01,-0.0036258158085569203
24,2022-01-01,0.01965065502183405
25,2022-02-01,0.017844396859386213
26,2022-03-01,0.029453015427770124
27,2022-04-01,0.004768392370572139
28,2022-05-01,0.004745762711864332
29,2022-06-01,0.002024291497975783
30,2022-07-01,-0.014141414141414121
31,2022-08-01,-0.012295081967213184
32,2022-09-01,-0.010373443983402453
33,2022-10-01,-0.002795248078267032
34,2022-11-01,-0.007708479327259932
35,2022-12-01,0.0014124293785311437
36,2023-01-01,-0.0035260930888575404
37,2023-02-01,-0.002123142250530896
38,2023-03-01,-0.007801418439716268
39,2023-04-01,0.002859185132237263
40,2023-05-01,-0.004276550249465605
41,2023-06-01,-0.0021474588403721517
42,2023-07-01,0.0
43,2023-08-01,0.006456241032998689
44,2023-09-01,0.0049893086243761875
45,2023-10-01,-0.00638297872340432
46,2023-11-01,-0.0049964311206280865
47,2023-12-01,-0.00717360114777621
48,2024-01-01,0.007225433526011571
49,2024-02-01,0.002152080344332674
50,2024-03-01,0.005726556907659441
51,2024-04-01,0.008540925266903754
52,2024-05-01,-0.0014114326040930436
53,2024-06-01,0.0007067137809186885
54,2024-07-01,0.0014124293785311437
55,2024-08-01,-0.0028208744710860323
56,2024-09-01,-0.0035360678925034916
57,2024-10-01,0.0014194464158976405
58,2024-11-01,0.0014174344436570507
59,2024-12-01,0.0007077140835101137
60,2025-01-01,0.0028288543140029265
61,2025-02-01,0.002115655853314413
62,2025-03-01,-0.0035186488388458947
63,2025-04-01,0.0014124293785311437
64,2025-05-01,-0.0042313117066292705
65,2025-06-01,0.0007082152974506872
